15,0.998102364
16,0.997730433
17,0.997353186
18,0.99717073
19,0.997061439
20,0.996983225
21,0.99689672
22,0.996854374
23,0.996768633
24,0.99662308
25,0.996450051
26,0.996256373
27,0.996094814
28,0.995874203
29,0.995707737
30,0.995429237
31,0.995136742
32,0.994769621
33,0.994388267
34,0.99393375
35,0.99350709
36,0.993022767
37,0.992501158
38,0.991915184
39,0.991369926
40,0.990651769
41,0.989954704
42,0.9892441
43,0.988625328
44,0.987759571
45,0.986985249
46,0.986058339
47,0.984835075
48,0.983223953
49,0.98158246
50,0.979854539
51,0.977678383
52,0.975365031
53,0.973103359
54,0.970455086
55,0.967642697
56,0.964710154
57,0.961741336
58,0.958528991
59,0.955064193
60,0.950952284
61,0.946620413
62,0.941386314
63,0.935666098
64,0.929155122
65,0.921876874
66,0.91376139
67,0.905227768
68,0.895620143
69,0.885690226
70,0.874631628
71,0.86291341
72,0.849290663
73,0.834537211
74,0.818021663
75,0.799982669
76,0.778618712
77,0.755884089
78,0.730495611
79,0.703373825
80,0.673721286
81,0.642783567
82,0.610606907
83,0.575697486
84,0.538965489
85,0.498924126
86,0.464812019
87,0.430390126
88,0.399476756
89,0.363296572
90,0.328286544
91,0.290754367
92,0.255760351
93,0.221623716
94,0.193640865
95,0.17080034
